"class" "garden" "provenance" "g" "alpha" "beta" "delta" "never_germinated" "provenance_full" "g_without_death" "num_seeds_germinated" "keep" "p_survive_until_x_1" "p_survive_until_x_2" "p_survive_until_x_3" "p_survive_until_x_4" "p_survive_until_x_5" "p_survive_until_x_6" "p_survive_until_x_7" "p_survive_until_x_8" "p_survive_until_x_9" "p_survive_until_x_10" "p_survive_until_x_11" "p_survive_until_x_12" "p_survive_until_x_13" "p_survive_until_x_14" "p_survive_until_x_15" "p_survive_until_x_16" "p_survive_until_x_17" "p_survive_until_x_18" "p_survive_until_x_19" "p_survive_until_x_20"
"03_Abies_France_Corse" "03" "France Corse" NA NA NA NA FALSE "Abies_France_Corse" 0.02 1 FALSE 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"03_Abies_France_Haute_Provence" "03" "France Haute Provence" NA NA NA NA FALSE "Abies_France_Haute_Provence" 0.04 2 FALSE 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"03_Abies_France_Massif_Central_West" "03" "France Massif Central West" NA NA NA NA TRUE "Abies_France_Massif_Central_West" 0 0 FALSE 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"03_Abies_France_Pyrenees" "03" "France Pyrenees" NA NA NA NA FALSE "Abies_France_Pyrenees" 0.02 1 FALSE 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"03_Abies_Georgia_Ambrolauri" "03" "Georgia Ambrolauri" NA NA NA NA FALSE "Abies_Georgia_Ambrolauri" 0.02 1 FALSE 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"03_Abies_Germany_Traunstein" "03" "Germany Traunstein" NA NA NA NA FALSE "Abies_Germany_Traunstein" 0.02 1 FALSE 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"03_Abies_Poland_Sudety" "03" "Poland Sudety" NA NA NA NA FALSE "Abies_Poland_Sudety" 0.02 1 FALSE 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"03_Abies_Romania_SE_Carpathians" "03" "Romania SE Carpathians" NA NA NA NA TRUE "Abies_Romania_SE_Carpathians" 0 0 FALSE 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"03_Abies_Slovakia_North_Region" "03" "Slovakia North Region" NA NA NA NA TRUE "Abies_Slovakia_North_Region" 0 0 FALSE 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"03_Abies_Slovenia_Pohorsko" "03" "Slovenia Pohorsko" NA NA NA NA FALSE "Abies_Slovenia_Pohorsko" 0.04 2 FALSE 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"04_Abies_Austria_Zwischenalp_South" "04" "Austria Zwischenalp South" NA NA NA NA FALSE "Abies_Austria_Zwischenalp_South" 0.02 1 FALSE 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"04_Abies_France_Corse" "04" "France Corse" NA NA NA NA FALSE "Abies_France_Corse" 0.04 2 FALSE 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
