"class" "garden" "provenance" "g" "alpha" "beta" "delta" "never_germinated" "provenance_full" "g_without_death" "num_seeds_germinated" "keep" "p_survive_until_x_1" "p_survive_until_x_2" "p_survive_until_x_3" "p_survive_until_x_4" "p_survive_until_x_5" "p_survive_until_x_6" "p_survive_until_x_7" "p_survive_until_x_8" "p_survive_until_x_9" "p_survive_until_x_10" "p_survive_until_x_11" "p_survive_until_x_12" "p_survive_until_x_13" "p_survive_until_x_14" "p_survive_until_x_15" "p_survive_until_x_16" "p_survive_until_x_17" "p_survive_until_x_18" "p_survive_until_x_19" "p_survive_until_x_20"
"05_Fagus_Iran_Alborz_Mountains" "05" "Iran Alborz Mountains" NA NA NA NA FALSE "Fagus_Iran_Alborz_Mountains" 0.03 3 FALSE 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"05_Fagus_Italy_Passo_Fittanze" "05" "Italy Passo Fittanze" NA NA NA NA FALSE "Fagus_Italy_Passo_Fittanze" 0.02 1 FALSE 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"05_Fagus_Romania_SE_Carpathians" "05" "Romania SE Carpathians" NA NA NA NA TRUE "Fagus_Romania_SE_Carpathians" 0 0 FALSE 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"05_Fagus_Slovakia_Middle_Region" "05" "Slovakia Middle Region" NA NA NA NA FALSE "Fagus_Slovakia_Middle_Region" 0.08 4 FALSE 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"05_Fagus_Slovenia_Dinarsko" "05" "Slovenia Dinarsko" 0.999952 0.182711 0.000165177 0.449238 FALSE "Fagus_Slovenia_Dinarsko" 0.18 9 TRUE 0.545945557707572 0.364724947490181 0.243674681816723 0.162811149642942 0.0889300898069511 0.0594284548333874 0.0397163131229654 0.0265443556805955 0.0145054438409001 0.00969630343057796 0.00648201645989892 0.00433354002892701 0.00289737188348029 0.00158416448126754 0.00105933553892059 0.000708427710768168 0.000473790405004322 0.000259164901748171 0.000173355924851309 0.000115965791710208
"05_Fagus_Switzerland_Salenstein" "05" "Switzerland Salenstein" NA NA NA NA TRUE "Fagus_Switzerland_Salenstein" 0 0 FALSE 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"06_Fagus_Austria_Randgebirge_South" "06" "Austria Randgebirge South" NA NA NA NA FALSE "Fagus_Austria_Randgebirge_South" 0.06 3 FALSE 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"06_Fagus_France_Massif_Armoricain" "06" "France Massif Armoricain" NA NA NA NA FALSE "Fagus_France_Massif_Armoricain" 0.02 1 FALSE 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"06_Fagus_France_Massif_Central_North" "06" "France Massif Central North" NA NA NA NA FALSE "Fagus_France_Massif_Central_North" 0.08 4 FALSE 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"06_Fagus_Iran_Alborz_Mountains" "06" "Iran Alborz Mountains" NA NA NA NA FALSE "Fagus_Iran_Alborz_Mountains" 0.04 4 FALSE 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"06_Fagus_Italy_Passo_Fittanze" "06" "Italy Passo Fittanze" NA NA NA NA FALSE "Fagus_Italy_Passo_Fittanze" 0.02 1 FALSE 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"06_Fagus_Romania_SE_Carpathians" "06" "Romania SE Carpathians" NA NA NA NA TRUE "Fagus_Romania_SE_Carpathians" 0 0 FALSE 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"06_Fagus_Slovakia_Middle_Region" "06" "Slovakia Middle Region" NA NA NA NA TRUE "Fagus_Slovakia_Middle_Region" 0 0 FALSE 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"06_Fagus_Slovenia_Dinarsko" "06" "Slovenia Dinarsko" 0.998995 0.0509145 0.0216202 0.139633 FALSE "Fagus_Slovenia_Dinarsko" 0.22 11 TRUE 0.661477997840711 0.464993190585939 0.329350793964667 0.235006424536601 0.168903743792408 0.122255546972312 0.0852153194541622 0.0625893924350294 0.0462751143849904 0.0344346346059228 0.0257859773243281 0.0194290767892556 0.0141633670425634 0.0108089659455026 0.00829665994212562 0.00640427000444776 0.00497084361197525 0.00387911631032482 0.00294071678660724 0.00232062852261944
"06_Fagus_Switzerland_Salenstein" "06" "Switzerland Salenstein" NA NA NA NA TRUE "Fagus_Switzerland_Salenstein" 0 0 FALSE 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"07_Fagus_Austria_Randgebirge_South" "07" "Austria Randgebirge South" NA NA NA NA FALSE "Fagus_Austria_Randgebirge_South" 0.08 4 FALSE 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"07_Fagus_France_Massif_Armoricain" "07" "France Massif Armoricain" 0.999993 0.0815774 0.00223348 0.18625 FALSE "Fagus_France_Massif_Armoricain" 0.18 9 TRUE 0.600605058629483 0.393117519368449 0.236684169166905 0.155231347013107 0.101902947761632 0.0615684823278981 0.040498248952348 0.0266629553058194 0.016165676232498 0.0106642450285279 0.00648112162005973 0.0042839690324392 0.00283420939257736 0.00172841295667801 0.00114574202193744 0.000760173672344457 0.000465171564334777 0.00030923362620967 0.00018967129615485 0.000126333503625998
"07_Fagus_France_Massif_Central_North" "07" "France Massif Central North" 0.393364 0.0149595 0.00145283 0.0975819 FALSE "Fagus_France_Massif_Central_North" 0.3 15 TRUE 0.333312227742618 0.286778249060889 0.246793880499444 0.212429900644727 0.180174107877559 0.155156035794776 0.133640359894813 0.115132817273083 0.0977447622179411 0.0842459200939408 0.0726267120179294 0.0626232896611211 0.0532163901975323 0.0459068669612641 0.0396096930101672 0.0341835172928612 0.0290762912805307 0.0251041716327093 0.0216792284282767 0.0187254670206233
"07_Fagus_Iran_Alborz_Mountains" "07" "Iran Alborz Mountains" NA NA NA NA FALSE "Fagus_Iran_Alborz_Mountains" 0.04 4 FALSE 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
